Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,2016,0.68,3400,28000
Male,2016,0.11,530,20000
Female,2017,0.62,3200,28000
Male,2017,0.1,500,20000
Female,2018,0.55,2900,27000
Male,2018,0.09,500,20000
Female,2019,0.48,2700,27000
Male,2019,0.08,500,20000
Female,1990,10.42,1300,3300
Male,1990,1.58,500,500
Female,1991,9.79,1300,3500
Male,1991,1.4,200,500
Female,1992,7.98,1100,3300
Male,1992,1.09,200,500
Female,1993,6.76,950,3100
Male,1993,0.88,200,500
Female,1994,6.43,940,2800
Male,1994,0.8,200,500
Female,1995,5.54,830,2600
Male,1995,0.67,200,500
Female,1996,5.25,810,2500
Male,1996,0.62,100,500
Female,1997,4.86,770,2400
Male,1997,0.56,100,500
Female,1998,4.82,780,2500
Male,1998,0.55,100,500
Female,1999,4.46,740,2500
Male,1999,0.5,100,630
Female,2000,4.5,760,2600
Male,2000,0.49,100,780
Female,2001,4.09,700,2700
Male,2001,0.44,100,930
Female,2002,4.17,730,2900
Male,2002,0.45,100,1100
Female,2003,3.65,650,2900
Male,2003,0.39,100,1200
Female,2004,3.56,650,3000
Male,2004,0.38,100,1300
Female,2005,3.44,640,3100
Male,2005,0.37,100,1500
Female,2006,3.44,650,3200
Male,2006,0.37,100,1600
Female,2007,3.36,650,3300
Male,2007,0.35,100,1700
Female,2008,3.57,710,3400
Male,2008,0.37,100,1800
Female,2009,3.51,710,3500
Male,2009,0.37,100,1800
Female,2010,3.37,700,3600
Male,2010,0.35,100,1900
Female,2011,3.4,720,3600
Male,2011,0.35,100,1900
Female,2012,3.44,750,3700
Male,2012,0.36,100,2000
Female,2013,3.54,800,3800
Male,2013,0.36,100,2000
Female,2014,3.59,830,3900
Male,2014,0.37,100,2000
Female,2015,3.66,880,4000
Male,2015,0.38,100,2000
Female,2016,3.61,890,4100
Male,2016,0.37,100,2000
Female,2017,3.63,930,4200
Male,2017,0.38,100,2000
Female,2018,3.57,940,4300
Male,2018,0.38,200,2000
Female,2019,3.59,980,4400
Male,2019,0.38,200,2100
Female,1990,0.31,100,100
Male,1990,0.17,100,100
Female,1991,0.56,100,100
Male,1991,0.29,100,100
Female,1992,1.04,100,100
Male,1992,0.54,100,100
Female,1993,1.63,100,100
Male,1993,0.82,100,100
